date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:22:16	1794/1794	---M--	200	added ('OK')	image/jpeg	etag:%22639ab280-702%22	https://themewagon.github.io/darkpan/img/user.jpg	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/img/user.jpg	(from https://themewagon.github.io/darkpan/)
13:22:16	30372/30372	---M-Z	200	added ('OK')	text/html	etag:W/%22639ab280-76a4%22	https://themewagon.github.io/darkpan/button.html	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/button.html	(from https://themewagon.github.io/darkpan/)
13:22:17	24245/24245	---M-Z	200	added ('OK')	text/html	etag:W/%22639ab280-5eb5%22	https://themewagon.github.io/darkpan/typography.html	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/typography.html	(from https://themewagon.github.io/darkpan/)
13:22:17	38933/38933	---M-Z	200	added ('OK')	text/html	etag:W/%22639ab280-9815%22	https://themewagon.github.io/darkpan/element.html	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/element.html	(from https://themewagon.github.io/darkpan/)
13:22:17	22502/22502	---M-Z	200	added ('OK')	text/html	etag:W/%22639ab280-57e6%22	https://themewagon.github.io/darkpan/widget.html	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/widget.html	(from https://themewagon.github.io/darkpan/)
13:22:18	31901/31901	---M-Z	200	added ('OK')	text/html	etag:W/%22639ab280-7c9d%22	https://themewagon.github.io/darkpan/form.html	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/form.html	(from https://themewagon.github.io/darkpan/)
13:22:18	26309/26309	---M-Z	200	added ('OK')	text/html	etag:W/%22639ab280-66c5%22	https://themewagon.github.io/darkpan/table.html	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/table.html	(from https://themewagon.github.io/darkpan/)
13:22:19	14499/14499	---M-Z	200	added ('OK')	text/html	etag:W/%22639ab280-38a3%22	https://themewagon.github.io/darkpan/chart.html	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/chart.html	(from https://themewagon.github.io/darkpan/)
13:22:19	4604/4604	---M-Z	200	added ('OK')	text/html	etag:W/%22639ab280-11fc%22	https://themewagon.github.io/darkpan/signin.html	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/signin.html	(from https://themewagon.github.io/darkpan/)
13:22:19	4874/4874	---M-Z	200	added ('OK')	text/html	etag:W/%22639ab280-130a%22	https://themewagon.github.io/darkpan/signup.html	D:/Umer/new%20project/admin%20temp2/themewagon.github.io/darkpan/signup.html	(from https://themewagon.github.io/darkpan/)
